id,match_id,player_id,round,question_id,selected_option,is_correct,points_earned,response_time_ms,answered_at
00108e19-032c-46e7-acaa-2253af2a57b2,8203b2f9-5954-4281-ac8a-c3a4014c0314,be9fcb50-db86-4438-b59c-88cddbbd8638,1,870ead56-b92e-45fc-9bfb-c852f64088c9,ai,true,149,162,2026-09-16 10:27:51.640756+00
00485ab1-5324-4356-a469-05ff2a103491,8c94b08a-6f86-4e05-816f-78fe60450f4b,dfe6d0e1-3fdd-4706-a3bf-1f098ad8ab68,3,5ba8fb1a-5342-4e59-b819-6b101c8ad3a9,Voice Assistant,true,118,6441,2026-09-16 08:24:01.215826+00
0082dcd0-f064-4862-b5be-a6fc8cc3de86,00d28983-7122-4446-8521-20d968b095c2,d2cc9192-79c1-4661-aa74-498d85610733,3,b74cca07-f5e9-48a7-81e2-6f7971a4d6a2,Firewall,false,0,3062,2026-09-15 16:18:02.565279+00
00ae82dd-f4fa-42ee-a4f3-61489298918b,00d28983-7122-4446-8521-20d968b095c2,b773799d-ec85-4048-b41d-377dbbb90428,2,2c78ef21-acfd-43b3-97e2-0654fea58b80,Suno,true,138,2411,2026-09-15 16:16:57.316285+00
00b3a2fa-0f56-427b-80f9-1568f5d1a95f,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,3306d56e-e5d6-4c7d-a7f0-1a39e1c5ab95,3,fcc9a388-7489-4348-a707-3e8357065607,AI Code Assistant,true,136,2716,2026-09-15 18:16:35.660085+00
00cdfa24-e520-440b-8925-0a582997e6f3,8203b2f9-5954-4281-ac8a-c3a4014c0314,90e34ae7-f6ff-4eff-a004-9d1cce0c653b,1,040bc733-e444-4d95-9a90-d44a953cf55c,real,false,0,7944,2026-09-16 10:27:30.941319+00
00dc50db-37b8-4b3a-8c37-c9e83b6743fa,00d28983-7122-4446-8521-20d968b095c2,d2cc9192-79c1-4661-aa74-498d85610733,3,d45edb8b-d191-4fe8-b1f8-e07733a57928,Auto Essay,false,0,3824,2026-09-15 16:18:13.33924+00
01019def-cb1d-4fae-ba03-80cb0d2da856,bc52c02f-c108-46d4-b4b3-5d895228e21a,b13dff12-e5b8-4ee0-b524-164956f6e49e,2,3be8dddc-7f70-4427-bd5d-45b5bebf5f34,Hugging Face,true,141,1793,2026-09-15 17:31:47.1978+00
0109bfee-48aa-48c1-9b8a-2f3e954e16a9,8c94b08a-6f86-4e05-816f-78fe60450f4b,2c9311f2-a0c0-4384-931c-c75df00a3256,3,791d445f-3889-4c28-8209-a471b2d254a6,Multi-Agent System,true,133,3350,2026-09-16 08:24:27.25929+00
012102b7-00ca-4003-832e-bb346d38d13f,bc52c02f-c108-46d4-b4b3-5d895228e21a,2e431faf-f302-4d93-a698-a10170dfbcc7,3,6ceb370b-0a49-429b-bd13-bc61b51acf12,AI Music Generator,true,123,5311,2026-09-15 17:33:19.861324+00
012810d4-f866-4701-981e-10d33cb96c7b,bc52c02f-c108-46d4-b4b3-5d895228e21a,6ce386b0-8111-4fd0-8cca-7f246e32f801,1,926918a8-aa91-45c5-a226-203c87dfd4c4,ai,true,122,5554,2026-09-15 17:30:32.105088+00
01355a9d-9b6e-4606-996e-3619f651093a,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,1af4b67b-a028-48e5-92bf-9e02640ae117,2,0d759c4b-ffb6-4c0a-8baf-323116684d6f,Perplexity,true,136,2723,2026-09-16 07:35:00.677578+00
0190b10d-80e0-4e09-8291-ceb2016ca6c8,8c94b08a-6f86-4e05-816f-78fe60450f4b,f3b3bc83-e5b6-4f69-87dc-6246d959ed08,3,17d07c46-832b-4fed-8d14-5c6ff33381cb,Movie Sci-Fi,false,0,5793,2026-09-16 08:24:09.810982+00
01a18cae-d921-45f4-919e-7edef25600c0,144cd33d-4b84-4fab-9d50-e39ca3e1821d,3fb948bb-52a1-4303-a014-238fbf16d523,1,85cb4dbb-77e4-474d-90ad-5eeb69b04e48,real,false,0,2875,2026-09-16 11:51:48.792085+00
01b38c9f-cb55-441e-8c6d-4fab36cd97c7,8203b2f9-5954-4281-ac8a-c3a4014c0314,a47eb089-62c2-443c-8399-2c69bf46986a,2,c458e139-4604-4cd5-9d60-9f8f4920633e,Siri,true,125,4946,2026-09-16 10:29:00.578046+00
01d69552-1ee9-460c-83c6-32a33b54f34c,62492d4b-cec1-42d7-ac95-35d1b7595022,4d349418-f511-41e9-b371-9f80fdfa5935,2,28631c4e-2145-4ced-9b18-60d512d9d5fc,Gemini,true,113,7421,2026-09-15 18:51:12.358948+00
02415f29-71c1-4a33-9bb1-05ee221a769a,8c94b08a-6f86-4e05-816f-78fe60450f4b,7e7ea678-fba6-41cc-a725-2675500ceead,2,b0816a00-6d7c-4d43-81f4-3e4c906d237b,LlamaIndex,false,0,5428,2026-09-16 08:23:12.922341+00
02562e69-9e1f-4e19-a060-ac8672907d4d,00d28983-7122-4446-8521-20d968b095c2,37887cf6-42e1-460a-9c6a-638282068b6f,1,ed8918ea-be0e-4d21-b90a-27074f4192e9,real,false,0,1663,2026-09-15 16:16:00.296545+00
02820f16-fba6-484d-9779-b527307841ae,8c94b08a-6f86-4e05-816f-78fe60450f4b,f3b3bc83-e5b6-4f69-87dc-6246d959ed08,1,c91b3106-5017-499d-bb2c-1070ec5d033d,ai,true,143,1418,2026-09-16 08:21:45.489104+00
029471b8-1660-4f96-b5c0-f206f4288f0a,264bc89b-c05e-418b-8581-e7ef030090b9,e9319fa3-b4da-4c8a-9101-a6a02418f03d,2,455f16c6-9cb3-48e1-a556-241ab18a192e,Copilot,true,130,4020,2026-09-15 18:05:33.463924+00
029b69c3-6fb1-4aea-b3c2-7c8921d1df55,144cd33d-4b84-4fab-9d50-e39ca3e1821d,53eb4d14-758e-4c9e-85f7-10e652dee8b4,1,ed8918ea-be0e-4d21-b90a-27074f4192e9,ai,true,117,6547,2026-09-16 11:51:21.734087+00
029e0164-1055-4e09-b558-669cf8714060,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,3306d56e-e5d6-4c7d-a7f0-1a39e1c5ab95,1,c3eaade7-c12a-40bb-8f90-67a74480702c,ai,true,139,2151,2026-09-15 18:14:35.869164+00
02c58885-f263-4c01-8003-5c3dae714de5,bc52c02f-c108-46d4-b4b3-5d895228e21a,61382c64-6aff-4f8b-9c34-588b19bb3ee2,3,17d07c46-832b-4fed-8d14-5c6ff33381cb,Movie Sci-Fi,false,0,4730,2026-09-15 17:32:40.08532+00
02de3f75-d7af-4750-b8d8-6eefba326c9c,00d28983-7122-4446-8521-20d968b095c2,d2cc9192-79c1-4661-aa74-498d85610733,1,9fff14db-911c-4ec5-abca-50f082cadfff,ai,true,143,1423,2026-09-15 16:15:50.88463+00
02e95ed1-1c0e-4ff7-9300-31deec6a8889,8203b2f9-5954-4281-ac8a-c3a4014c0314,c99ec121-e4b4-49b7-9a60-d21f2e733e9c,3,d45edb8b-d191-4fe8-b1f8-e07733a57928,AI Copywriter,true,130,4068,2026-09-16 10:29:50.205376+00
0316e6c8-6035-469a-95b7-dc14a47689ea,144cd33d-4b84-4fab-9d50-e39ca3e1821d,d01565be-f45f-4183-a313-3165ce537bfa,3,491bd851-637b-4861-ac7c-7ee9074f3a26,Neural Network,true,118,6450,2026-09-16 11:54:02.458366+00
034e8950-bfb9-49e3-979f-f22b4d99aab6,e73ffce7-e431-4e8a-9865-6b786403be63,4957c8f1-3943-4749-8a87-2307b7478984,2,2c78ef21-acfd-43b3-97e2-0654fea58b80,AIVA,false,0,3262,2026-09-15 17:22:55.4644+00
037245ea-8153-4f55-ad56-1e6e624ffef6,e73ffce7-e431-4e8a-9865-6b786403be63,2ff1728f-d092-4401-a3e0-d302a5e84da5,3,d45edb8b-d191-4fe8-b1f8-e07733a57928,AI Copywriter,true,128,4401,2026-09-15 17:23:31.219635+00
03917d62-7c92-45fc-ac07-e10bfb66fa68,bc52c02f-c108-46d4-b4b3-5d895228e21a,9e73b632-2e07-4b8a-b42f-37d373250efd,1,3bba083c-ae4f-405b-8732-d904bae2f299,ai,true,139,2243,2026-09-15 17:30:38.694814+00
039edc1d-5444-4f27-af72-1631a63c21a8,bc52c02f-c108-46d4-b4b3-5d895228e21a,6202ad9f-7b8a-416e-9c73-b82b2fa9298d,1,0463a4a2-50f0-482f-971a-22e359942d64,ai,true,139,2266,2026-09-15 17:30:48.769834+00
03d470de-6c91-411a-a275-86aebf860bdd,144cd33d-4b84-4fab-9d50-e39ca3e1821d,3fb948bb-52a1-4303-a014-238fbf16d523,1,c3eaade7-c12a-40bb-8f90-67a74480702c,ai,true,142,1540,2026-09-16 11:51:37.448873+00
